Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0115","Barley","2005","2005","tonnes","2116","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0115","Barley","2005","2005","1000 US$","508","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02111","Cattle","2005","2005","Head","60","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02111","Cattle","2005","2005","1000 US$","162","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02111","Cattle","2005","2005","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02111","Cattle","2005","2005","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5609","Import Quantity","02151","Chickens","2005","2005","1000 Head","720","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02151","Chickens","2005","2005","1000 US$","985","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5909","Export Quantity","02151","Chickens","2005","2005","1000 Head","32","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02151","Chickens","2005","2005","1000 US$","27","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02123","Goats","2005","2005","Head","186","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02123","Goats","2005","2005","1000 US$","58","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02123","Goats","2005","2005","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02123","Goats","2005","2005","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0117","Oats","2005","2005","tonnes","10","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0117","Oats","2005","2005","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0113","Rice","2005","2005","tonnes","23","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0113","Rice","2005","2005","1000 US$","7","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","0113","Rice","2005","2005","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","0113","Rice","2005","2005","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02122","Sheep","2005","2005","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02122","Sheep","2005","2005","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02122","Sheep","2005","2005","Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02122","Sheep","2005","2005","1000 US$","","O","Missing value"
"TCL","Crops and livestock products","051","Armenia","5608","Import Quantity","02140","Swine / pigs","2005","2005","Head","90","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02140","Swine / pigs","2005","2005","1000 US$","50","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5908","Export Quantity","02140","Swine / pigs","2005","2005","Head","50","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","02140","Swine / pigs","2005","2005","1000 US$","6","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","0111","Wheat","2005","2005","tonnes","319043","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","0111","Wheat","2005","2005","1000 US$","47873","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","0111","Wheat","2005","2005","tonnes","3","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","0111","Wheat","2005","2005","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","0115","Barley","2005","2005","tonnes","5630","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","0115","Barley","2005","2005","1000 US$","557","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","0115","Barley","2005","2005","tonnes","600","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export Value","0115","Barley","2005","2005","1000 US$","48","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5608","Import Quantity","02111","Cattle","2005","2005","Head","1340","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","02111","Cattle","2005","2005","1000 US$","365","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5908","Export Quantity","02111","Cattle","2005","2005","Head","0","E","Estimated value"
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export Value","02111","Cattle","2005","2005","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","031","Azerbaijan","5609","Import Quantity","02151","Chickens","2005","2005","1000 Head","2586","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5622","Import Value","02151","Chickens","2005","2005","1000 US$","731","A","Official figure"
"TCL","Crops and livestock products","031","Azerbaijan","5909","Export Quantity","02151","Chickens","2005","2005","1000 Head","","M","Missing value (data cannot exist, not applicable)"
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export Value","02151","Chickens","2005","2005","1000 US$","","O","Missing value"
